Market Access,AU,NZ,US,PE,CL,MX,CA,SG,BN,MY,VN,JP
Distinctive products,0.5,0,1,0.5E,0,1,1,0.5,0.5,0,0,0.5
National treatment,0,0,1,1,0,1,1,0,1,0,1,0
Import/export restrictions,0,0,1,1,1,1,1,0,1,0,1,0
State-owned import enterprises,1,1,1,1,1,1,0,1,1,0,0,0
Eliminate export taxes,1,1,1,1,1,1,0,1,1,0,0,1
Incorporate ITA agreement,1,1,1,1,0,0,1,1,0,1,1,1
Price bands,0,0,0.5,1,1,0,0.5,0.5,0.5,0,0,0.5
Eliminate agricultural export subsidies,1,1,0,1,1,1,1,1,1,1,1,1
State-owned agricultural export enterprises,1,1,1,1,1,0.5,0,1,1,1,1,0.5
Export credits,1,1,0,1,1,1,1,1,1,1,1,0.5
Cheese,1,1,1,0,0,0,0,0,0,0,0,0.5
Biotechnology,1,0,1,0,0,1,0,0,0,0,0,0
